Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.002909628,0.001416649
20000.98,42.64796027,1.29349049
40000.96,72.8325299,1.331390829
100000.9,144.3222666,3.025046885
200000.8,256.9264988,2.038930992
300000.7,362.9501531,6.363068576
400000.6,442.5611155,2.166313866
500000.5,499.007531,2.802663802
600000.4,537.8115092,2.79845133
700000.3,566.2859451,3.171125862
800000.2,587.4505777,4.704636747
900000.1,606.612477,3.660405423
960000.04,612.5334787,3.615313335
980000.02,615.8216309,1.627061094
1000000,617.5314009,3.341006082
