Pressure [Pa],Mole Frac,Uptake [mg/g],Error [mg/g]
0.1,0.2,0.0,0.0
1800000.1,0.02,0.756973311,0.028751237
3600000.1,0.6,45.30110477,0.95986075
4800000.1,0.24,12.5109955,0.283452782
7200000.1,0.24,14.71222867,0.607741596
8400000.1,0.64,60.87593093,1.097828775
10200000.1,0.46,39.13687613,0.707958895
10800000.1,0.68,76.09499655,1.653623563
13200000.1,0.86,133.8867411,1.094387785
15000000.1,0.86,137.9959064,0.962228184
15600000.0,0.86,139.0519825,1.026388757
16800000.0,0.3,34.03903401,0.621846297
19200000.0,0.34,40.29718397,0.73891323
21000000.0,0.98,213.1780461,1.438417111
21600000.0,0.72,105.2423313,1.428950687
22800000.0,0.72,108.4822023,2.462245766
25200000.0,0.76,121.5031511,0.521167659
26400000.0,0.36,47.76643155,1.781489393
27000000.0,0.58,82.17196755,2.135169274
28800000.0,0.4,54.92497296,1.076729595
