Pressure [Pa],Mole Frac,Uptake [mg/g],Error [mg/g]
0.1,0.8,0.000272778,0.000445444
1800000.1,0.98,664.9958863,1.806172013
3600000.1,0.4,519.1729792,3.535051243
4800000.1,0.76,682.2566167,5.487389002
7200000.1,0.76,697.1172678,3.475651473
8400000.1,0.36,526.4056774,2.620930637
10200000.1,0.54,618.8924702,2.182807342
10800000.1,0.32,488.3397444,4.930239163
13200000.1,0.14,292.8856794,3.590642288
15000000.1,0.14,288.8169286,3.045298168
15600000.0,0.14,288.996689,2.045625091
16800000.0,0.7,653.4903996,4.565393908
19200000.0,0.66,637.7113063,4.802132204
21000000.0,0.02,53.96686701,1.243456833
21600000.0,0.28,425.3677612,7.527843809
22800000.0,0.28,420.0391416,7.297251495
25200000.0,0.24,379.6641462,2.144510154
26400000.0,0.64,624.1203439,6.243167091
27000000.0,0.42,513.229337,6.651332632
28800000.0,0.6,605.3120553,6.376330169
