Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.000104175,0.000289188
20000.98,1.240718376,0.011695608
40000.96,2.511022313,0.036257991
100000.9,6.209790265,0.018578247
200000.8,12.39275559,0.107845283
300000.7,18.59436816,0.201209488
400000.6,24.66914827,0.157631671
500000.5,30.58959384,0.313493665
600000.4,36.5779091,0.699030734
700000.3,42.02269388,0.267627156
800000.2,47.70301721,0.379794564
900000.1,53.11160134,0.230698066
960000.04,56.14927788,0.770623041
980000.02,57.35728546,0.7380211
1000000,58.3962699,0.536772086
