Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.000285714,0.000485698
20000.98,7.345132107,0.145269483
40000.96,14.7559784,0.161663555
100000.9,37.63580206,0.576178821
200000.8,77.40531528,1.402779422
300000.7,120.8602517,1.944239453
400000.6,161.1431927,1.836409876
500000.5,211.1636909,1.182493809
600000.4,267.2238946,1.968827988
700000.3,329.3239466,5.785115515
800000.2,397.1852758,4.378276031
900000.1,468.0957434,5.043394458
960000.04,507.0114008,6.775697074
980000.02,522.6448065,3.618328066
1000000,532.9197914,2.557146087
