Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
1,0.02,0.98,0,0.000495845,0,0.000700862
100000.9,0.98,0.02,7.021006242,0.875221475,0.08514713,0.028262377
200000.8,0.02,0.98,0.286954992,86.53822579,0.011441792,0.661132607
400000.6,0.98,0.02,27.79032046,3.496478389,0.103317864,0.070445888
500000.5,0.02,0.98,0.707976322,214.353948,0.009074019,1.885491682
600000.4,0.98,0.02,40.41867032,5.141526735,0.271644482,0.074570751
700000.3,0.02,0.98,0.990250844,310.0123056,0.009859884,2.885153811
800000.2,0.98,0.02,53.15955233,6.779743439,0.365986878,0.039959379
900000.1,0.02,0.98,1.290423644,410.0879256,0.008331244,2.545534532
1000000,0.98,0.02,66.23168305,8.400605569,0.262984997,0.075310487
