Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,4.10857E-05,0.000114054
20000.98,1.391982499,0.016176957
40000.96,2.777268034,0.042817527
100000.9,6.939410746,0.1154423
200000.8,13.74475895,0.232935096
300000.7,20.60257356,0.251836116
400000.6,27.27772127,0.303534191
500000.5,33.86046732,0.29747953
600000.4,39.92315095,0.256808138
700000.3,46.1910986,0.258505732
800000.2,52.28020032,0.558402558
900000.1,58.31511004,0.580988619
960000.04,62.01302577,0.531584452
980000.02,63.492644,0.446461475
1000000,64.7275149,0.531065823
