Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.00033805,0.000625619
20000.98,12.09972642,0.217619319
40000.96,24.14784381,0.222956265
100000.9,60.78958084,1.900221603
200000.8,120.1209248,2.661427762
300000.7,182.6279145,1.421831063
400000.6,245.7583819,3.571131843
500000.5,315.2084768,2.421788885
600000.4,387.5235491,4.069457367
700000.3,458.5967367,6.817638839
800000.2,533.1076719,2.965889256
900000.1,607.4691888,6.475916042
960000.04,648.4146459,6.131376592
980000.02,659.2403729,5.906498397
1000000,668.5322524,2.63729619
