Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
1,0.02,0.98,0,0.000619759,0,0.001144002
100000.9,0.98,0.02,6.603062909,1.153484415,0.053132236,0.030395065
200000.8,0.02,0.98,0.272562335,112.1202852,0.007787149,0.788420488
400000.6,0.98,0.02,26.18034357,4.674674054,0.289141964,0.058789225
500000.5,0.02,0.98,0.687856287,292.9892107,0.01237346,1.88073323
600000.4,0.98,0.02,38.18358369,6.916737201,0.383061135,0.129843053
700000.3,0.02,0.98,0.950003404,424.7890455,0.003116978,1.727054477
800000.2,0.98,0.02,50.0021848,9.065047695,0.175846756,0.117796286
900000.1,0.02,0.98,1.167264427,557.2310634,0.009217567,3.544372994
1000000,0.98,0.02,61.8859067,11.2221475,0.199497562,0.031265289
