Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error,P_BAR
0.1,200,0.02,0.98,0.000272778,0.001823393,0.000445444,0.001089506,0.000001
0.1,200,0.116,0.884,0.006001107,0.002022309,0.002256721,0.000899408,0.000001
0.1,200,0.212,0.788,0.008728883,0.001690783,0.003516845,0.001014275,0.000001
0.1,200,0.308,0.692,0.011820363,0.001392409,0.003770958,0.000801169,0.000001
0.1,200,0.404,0.596,0.015639249,0.001425562,0.002852233,0.000496183,0.000001
0.1,200,0.5,0.5,0.02045832,0.001127188,0.00589267,0.000386622,0.000001
0.1,200,0.596,0.404,0.024549985,0.000928273,0.006730971,0.000338092,0.000001
0.1,200,0.692,0.308,0.027004983,0.000530442,0.010199921,0.000676183,0.000001
0.1,200,0.788,0.212,0.032642387,0.000497289,0.007214726,0.00081207,0.000001
0.1,200,0.884,0.116,0.036461273,0.000331526,0.006934253,0.000419351,0.000001
0.1,200,0.98,0.02,0.040189234,0,0.008424271,0,0.000001
0.1,220,0.02,0.98,9.09E-05,0.000629899,0.000363704,0.000530442,0.000001
0.1,220,0.116,0.884,0.001636666,0.000596747,0.001233379,0.000496183,0.000001
0.1,220,0.212,0.788,0.002727776,0.000596747,0.002073429,0.000496183,0.000001
0.1,220,0.308,0.692,0.003455183,0.000563594,0.002120738,0.000538666,0.000001
0.1,220,0.404,0.596,0.005000923,0.000629899,0.002506653,0.000530442,0.000001
0.1,220,0.5,0.5,0.005364626,0.000530442,0.002256721,0.000386622,0.000001
0.1,220,0.596,0.404,0.006637588,0.000464136,0.002610063,0.000324828,0.000001
0.1,220,0.692,0.308,0.007092218,0.000430984,0.002733831,0.000162414,0.000001
0.1,220,0.788,0.212,0.007183144,6.63E-05,0.005527814,0.000162414,0.000001
0.1,220,0.884,0.116,0.008001476,0.00013261,0.003382638,0.000248091,0.000001
0.1,220,0.98,0.02,0.009092587,0,0.006220286,0,0.000001
