Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0001989156,0.0001721754
20000.98,4.2358745233,0.0751976877
40000.96,7.5418517749,0.1118064272
60000.94,10.2200845493,0.1712288611
80000.92,12.6923070687,0.1657570926
100000.9,14.7250918777,0.1924599515
120000.88,16.8637992431,0.2421886188
140000.86,18.6115048465,0.1359719568
160000.84,20.5060764670,0.1363380460
180000.82,22.1268076132,0.4248953994
200000.8,23.7355043657,0.2315801785
220000.78,25.2901623805,0.3027108055
240000.76,26.9674518620,0.2909199115
260000.74,28.4394604455,0.2898316211
280000.72,29.8654532205,0.4556763760
300000.7,31.0593446443,0.3097769396
320000.68,32.4798672403,0.3178335778
340000.66,33.7780235905,0.3157085232
360000.64,35.3286701407,0.4987107604
380000.62,36.6261302863,0.2073102007
400000.6,37.8829121920,0.4366046404
420000.58,39.1389315878,0.3441679608
440000.56,40.4040679486,0.4518838851
460000.54,41.8238943401,0.1541184497
480000.52,42.6509853998,0.5326683341
500000.5,44.0581474981,0.2656139931
520000.48,45.3819971131,0.5824559294
540000.46,46.8562600734,0.6918023815
560000.44,47.9298738652,0.3268576116
580000.42,49.1909656088,0.4924123783
600000.4,50.6719916995,0.7313583815
620000.38,51.7083088165,0.3879073814
640000.36,52.6246798274,0.6360266801
660000.34,54.0749734580,0.4161863825
680000.32,55.4050889144,0.5807126558
700000.3,56.4529099836,0.3597496369
720000.28,57.6585042751,0.4301943345
740000.26,58.7160722086,0.8172978495
760000.24,59.7763586553,0.5789090403
780000.22,60.6292755902,0.3313702306
800000.2,62.2095274120,0.2207072836
820000.18,62.9799606787,0.4379441384
840000.16,63.6715570630,0.5373222632
860000.14,65.0635021180,0.1854805516
880000.12,66.3709411962,0.7410312082
900000.1,67.5946036546,0.1990264630
920000.08,68.3433882736,0.6726913697
940000.06,69.1845360356,0.3747068559
960000.04,70.1906179816,0.3406059125
980000.02,71.2932402982,0.5170637862
1000000,72.5230028350,0.5389433570
