Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0029096278,0.0014166488
20000.98,42.6479602725,1.2934904897
40000.96,72.8325299022,1.3313908288
60000.94,98.0684591406,1.3377212176
80000.92,121.3623027543,2.3234071783
100000.9,144.3222665789,3.0250468846
120000.88,166.8950680557,3.3212166479
140000.86,190.8555801370,2.5643817640
160000.84,213.7789917625,3.5286699673
180000.82,235.7775054540,3.7071537252
200000.8,256.9264987564,2.0389309919
220000.78,281.9474792417,3.5705569839
240000.76,301.7583165378,2.2143517233
260000.74,323.1553556094,2.7551182873
280000.72,344.0536662924,3.6915587599
300000.7,362.9501530552,6.3630685761
320000.68,382.3885579941,2.8904260375
340000.66,396.6510987962,3.8138741559
360000.64,415.2242531708,2.7806393546
380000.62,427.7545652527,3.5499816734
400000.6,442.5611155259,2.1663138662
420000.58,456.2636439042,4.6675046600
440000.56,466.7587622722,3.5542509631
460000.54,479.0388463641,3.5906418237
480000.52,489.6975403695,4.8125899673
500000.5,499.0075309679,2.8026638024
520000.48,505.9474478788,3.0539714999
540000.46,515.8145412733,7.2135897756
560000.44,524.4404965632,4.8786603774
580000.42,530.0649889350,4.6921666869
600000.4,537.8115092250,2.7984513303
620000.38,543.1159425398,2.8853044933
640000.36,550.4908488054,4.6517745072
660000.34,556.6645334227,3.4640123640
680000.32,558.9283147700,1.5222135863
700000.3,566.2859451206,3.1711258619
720000.28,570.5981044327,3.1234346854
740000.26,575.3706214169,3.6632714744
760000.24,578.1838677874,3.8957695373
780000.22,582.2626203951,3.8924089863
800000.2,587.4505776724,4.7046367473
820000.18,590.3077412373,3.4167991302
840000.16,595.7242861478,4.5350538197
860000.14,598.4238751827,4.1119886032
880000.12,602.1040087831,2.9800418092
900000.1,606.6124770452,3.6604054225
920000.08,609.0865699263,1.6765548780
940000.06,609.5201044671,2.7851260352
960000.04,612.5334786741,3.6153133348
980000.02,615.8216308555,1.6270610940
1000000,617.5314008862,3.3410060815
