Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
0.1,300,0.02,0.98,0.00008,0.00012,0.00023,0.000734
0.1,300,0.04,0.96,7.02661E-05,0.000272778,0.000281064,0.000727407
0.1,300,0.06,0.94,0,0.000363704,0,0.000680427
0.1,300,0.08,0.92,0.000210798,0.000181852,0.000843193,0.000445444
0.1,300,0.1,0.9,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.12,0.88,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.14,0.86,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.16,0.84,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.18,0.82,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.2,0.8,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.22,0.78,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.24,0.76,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.26,0.74,0.000210798,9.09259E-05,0.000843193,0.000363704
0.1,300,0.28,0.72,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.3,0.7,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.32,0.68,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.34,0.66,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.36,0.64,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.38,0.62,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.4,0.6,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.42,0.58,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.44,0.56,7.02661E-05,0.000272778,0.000281064,0.000445444
0.1,300,0.46,0.54,7.02661E-05,0.000181852,0.000281064,0.000445444
0.1,300,0.48,0.52,7.02661E-05,0.000181852,0.000281064,0.000445444
0.1,300,0.5,0.5,7.02661E-05,0.000181852,0.000281064,0.000445444
0.1,300,0.52,0.48,7.02661E-05,9.09259E-05,0.000281064,0.000363704
0.1,300,0.54,0.46,0.000140532,9.09259E-05,0.000344232,0.000363704
0.1,300,0.56,0.44,0.000140532,9.09259E-05,0.000344232,0.000363704
0.1,300,0.58,0.42,0.000140532,9.09259E-05,0.000344232,0.000363704
0.1,300,0.6,0.4,0.000140532,9.09259E-05,0.000344232,0.000363704
0.1,300,0.62,0.38,0.000210798,9.09259E-05,0.000344232,0.000363704
0.1,300,0.64,0.36,0.000210798,9.09259E-05,0.000344232,0.000363704
0.1,300,0.66,0.34,0.000210798,9.09259E-05,0.000344232,0.000363704
0.1,300,0.68,0.32,0.000210798,9.09259E-05,0.000344232,0.000363704
0.1,300,0.7,0.3,0.000210798,9.09259E-05,0.000344232,0.000363704
0.1,300,0.72,0.28,0.000210798,0,0.000344232,0
0.1,300,0.74,0.26,0.000210798,0,0.000344232,0
0.1,300,0.76,0.24,0.000210798,0,0.000344232,0
0.1,300,0.78,0.22,0.000210798,0,0.000344232,0
0.1,300,0.8,0.2,0.000210798,0,0.000344232,0
0.1,300,0.82,0.18,0.000210798,0,0.000344232,0
0.1,300,0.84,0.16,0.000421597,0,0.001032697,0
0.1,300,0.86,0.14,0.000421597,0,0.001032697,0
0.1,300,0.88,0.12,0.000421597,0,0.001032697,0
0.1,300,0.9,0.1,0.000421597,0,0.001032697,0
0.1,300,0.92,0.08,0.000421597,0,0.001032697,0
0.1,300,0.94,0.06,0.000421597,0,0.001032697,0
0.1,300,0.96,0.04,0.000421597,0,0.001032697,0
0.1,300,0.98,0.02,0.000421597,0,0.001032697,0
200000.098,300,0.02,0.98,10.03512281,243.2682513,0.321450427,3.929401129
200000.098,300,0.04,0.96,19.44656375,234.2642262,0.462910013,2.728946831
200000.098,300,0.06,0.94,28.74466548,230.1933842,1.202296282,3.041377796
200000.098,300,0.08,0.92,38.18603977,227.3614071,0.869085939,3.993646877
200000.098,300,0.1,0.9,48.16635503,224.6844586,1.090553267,4.810894131
200000.098,300,0.12,0.88,58.00220319,222.2549194,1.812243514,5.786233728
200000.098,300,0.14,0.86,68.89548583,217.145522,2.216582311,2.503164025
200000.098,300,0.16,0.84,79.16649193,215.6668856,2.274965614,5.030938922
200000.098,300,0.18,0.82,89.97440127,211.1631455,0.992777975,3.117740259
200000.098,300,0.2,0.8,100.7728949,206.2015936,2.39158218,3.869547062
200000.098,300,0.22,0.78,113.6289907,203.6185715,2.452844615,4.452404925
200000.098,300,0.24,0.76,125.8439084,199.6308357,3.158694692,3.112910678
200000.098,300,0.26,0.74,138.1423021,195.8446825,3.034976115,6.981882345
200000.098,300,0.28,0.72,150.7899887,191.6580009,2.285116933,1.397214529
200000.098,300,0.3,0.7,165.8219444,187.2005421,4.352576682,3.402820246
200000.098,300,0.32,0.68,180.2920524,181.3112736,5.950484531,2.965034345
200000.098,300,0.34,0.66,195.862387,176.5601242,3.393506155,1.404149508
200000.098,300,0.36,0.64,211.8213633,171.066656,6.806798211,1.868816113
200000.098,300,0.38,0.62,225.469358,165.8947926,4.19671392,1.79263825
200000.098,300,0.4,0.6,240.8794156,158.4886078,3.230274661,2.125911098
200000.098,300,0.42,0.58,257.0120194,153.1390753,9.668378594,2.425281587
200000.098,300,0.44,0.56,272.9577857,145.7586225,7.343749161,1.569052406
