Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0004225797,0.0003657724
20000.98,7.6714422561,0.1943395462
40000.96,14.9706621871,0.2767137570
60000.94,21.4905042089,0.4177220115
80000.92,28.2250871709,0.6665482435
100000.9,34.1045800195,0.4592731134
120000.88,40.0588694829,0.6654712284
140000.86,46.2233219393,0.7470584201
160000.84,51.6348781505,0.8311917452
180000.82,56.5415219967,1.2247992300
200000.8,62.4161551782,0.9632059712
220000.78,68.5179249725,0.9339396863
240000.76,74.0750599058,1.0483779205
260000.74,78.1307690060,1.3686441250
280000.72,82.5672224562,0.9206801617
300000.7,90.2785280682,1.3144391816
320000.68,94.6780762207,2.4613979636
340000.66,99.9750428912,1.8799116331
360000.64,106.7804079605,1.2918122555
380000.62,110.8428079066,2.8417763660
400000.6,116.0140571030,3.6472804148
420000.58,121.0841688804,1.7691827491
440000.56,128.5846071999,2.1939931230
460000.54,133.8006498492,2.7120160997
480000.52,139.1310707494,2.3804493288
500000.5,142.8726622393,2.5648662851
520000.48,150.8053996376,5.2337273986
540000.46,155.8890339669,2.5244309241
560000.44,161.9894655920,3.2335720278
580000.42,166.6265035611,3.1104601613
600000.4,172.7434862262,2.7792913251
620000.38,180.0626378351,1.9707670544
640000.36,184.8108142770,2.6603172587
660000.34,190.3475245226,3.0276232885
680000.32,195.8607815924,3.0211326608
700000.3,201.2171207170,2.3486857230
720000.28,206.4197816744,2.9168329567
740000.26,211.7054091216,1.5414276387
760000.24,216.2270123904,3.1065485098
780000.22,221.2140168181,2.8035986001
800000.2,226.6399407406,3.3035079987
820000.18,229.6665977324,1.7810003552
840000.16,237.5229186269,1.8772161365
860000.14,241.6277174074,2.9401937568
880000.12,246.6774044972,4.1320507406
900000.1,250.3575106343,3.3104538454
920000.08,256.2836281146,3.2599369355
940000.06,259.4987556726,1.4337111743
960000.04,262.9720794546,2.2257139286
980000.02,269.2316827835,3.3648404394
1000000,273.2180183756,3.4930654080
