Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error
0.1,300,0.02,0.98,8.13972E-05,5.19519E-05,0.000217059,0.000138538
0.1,300,0.04,0.96,8.13972E-05,0.000138538,0.000217059,0.000138538
0.1,300,0.06,0.94,0.000135662,0.000155856,0.000297221,0.000254511
0.1,300,0.08,0.92,0.000189927,0.000155856,0.000217059,0.000317431
0.1,300,0.1,0.9,0.000244192,0.000103904,0.000265842,0.000254511
0.1,300,0.12,0.88,0.000325589,8.65865E-05,0.000132921,0.000154891
0.1,300,0.14,0.86,0.000352721,0.000173173,0.00047307,0.000189702
0.1,300,0.16,0.84,0.000271324,0.00019049,0.0001716,0.000201953
0.1,300,0.18,0.82,0.000379854,0.000121221,0.000316415,0.000176603
0.1,300,0.2,0.8,0.000352721,0.000121221,0.000368042,0.000176603
0.1,300,0.22,0.78,0.000379854,0.000103904,0.00020304,0.000201953
0.1,300,0.24,0.76,0.000542648,1.73173E-05,0.000664605,6.92692E-05
0.1,300,0.26,0.74,0.00056978,0.000103904,0.000694929,0.000129591
0.1,300,0.28,0.72,0.00067831,0.000121221,0.000822966,0.000176603
0.1,300,0.3,0.7,0.000651178,5.19519E-05,0.000265842,8.48371E-05
0.1,300,0.32,0.68,0.00078684,5.19519E-05,0.000736084,8.48371E-05
0.1,300,0.34,0.66,0.00078684,5.19519E-05,0.000553395,8.48371E-05
0.1,300,0.36,0.64,0.001003899,0.000103904,0.000503231,0.000129591
0.1,300,0.38,0.62,0.001058164,1.73173E-05,0.000830092,6.92692E-05
0.1,300,0.4,0.6,0.000705442,1.73173E-05,0.001117381,6.92692E-05
0.1,300,0.42,0.58,0.000841104,1.73173E-05,0.000715802,6.92692E-05
0.1,300,0.44,0.56,0.001519414,1.73173E-05,0.000466803,6.92692E-05
0.1,300,0.46,0.54,0.001085296,8.65865E-05,0.001029602,0.000154891
0.1,300,0.48,0.52,0.001627944,5.19519E-05,0.001372803,8.48371E-05
0.1,300,0.5,0.5,0.001139561,3.46346E-05,0.000632831,0.000138538
0.1,300,0.52,0.48,0.001546547,5.19519E-05,0.000609121,8.48371E-05
0.1,300,0.54,0.46,0.001302355,8.65865E-05,0.000503231,0.000268279
0.1,300,0.56,0.44,0.001438017,1.73173E-05,0.000797526,6.92692E-05
0.1,300,0.58,0.42,0.001329488,1.73173E-05,0.000793826,6.92692E-05
0.1,300,0.6,0.4,0.001492282,5.19519E-05,0.001306869,8.48371E-05
0.1,300,0.62,0.38,0.001410885,6.92692E-05,0.00055869,6.92692E-05
0.1,300,0.64,0.36,0.001492282,8.65865E-05,0.000664605,0.000154891
0.1,300,0.66,0.34,0.001790738,3.46346E-05,0.0011689,8.48371E-05
0.1,300,0.68,0.32,0.001329488,3.46346E-05,0.000553395,8.48371E-05
0.1,300,0.7,0.3,0.001845003,5.19519E-05,0.001346817,8.48371E-05
0.1,300,0.72,0.28,0.001709341,1.73173E-05,0.001220657,6.92692E-05
0.1,300,0.74,0.26,0.002170592,1.73173E-05,0.000618714,6.92692E-05
0.1,300,0.76,0.24,0.001980665,1.73173E-05,0.001291001,6.92692E-05
0.1,300,0.78,0.22,0.001980665,0,0.00055869,0
0.1,300,0.8,0.2,0.002197724,5.19519E-05,0.001770064,0.000138538
0.1,300,0.82,0.18,0.001763606,0,0.00115113,0
0.1,300,0.84,0.16,0.001655076,3.46346E-05,0.0011689,0.000138538
0.1,300,0.86,0.14,0.002333386,1.73173E-05,0.001613408,6.92692E-05
0.1,300,0.88,0.12,0.002306254,1.73173E-05,0.000542648,6.92692E-05
0.1,300,0.9,0.1,0.002360519,1.73173E-05,0.001501871,6.92692E-05
0.1,300,0.92,0.08,0.002306254,0,0.000514801,0
0.1,300,0.94,0.06,0.0019264,1.73173E-05,0.000830092,6.92692E-05
0.1,300,0.96,0.04,0.00282177,0,0.001006462,0
0.1,300,0.98,0.02,0.001817871,0,0.00058445,0
400000.098,300,0.02,0.98,43.01730647,193.218217,0.481756676,0.945707495
400000.098,300,0.04,0.96,78.17994616,181.4128377,0.954977484,0.557931591
400000.098,300,0.06,0.94,109.0696942,172.9109766,0.401879484,0.45789398
400000.098,300,0.08,0.92,137.6498511,165.7084155,1.017290048,1.477516898
400000.098,300,0.1,0.9,163.7720568,159.0679222,1.481961416,1.282291869
400000.098,300,0.12,0.88,189.0911706,153.1613361,1.290798067,0.76642973
400000.098,300,0.14,0.86,213.9045094,147.3785862,0.851933433,1.795212852
400000.098,300,0.16,0.84,237.7461555,142.6042228,0.616482096,0.388586125
400000.098,300,0.18,0.82,260.4708422,137.9499722,0.802355345,0.215145501
400000.098,300,0.2,0.8,283.437984,133.3210915,0.588149277,0.71203766
400000.098,300,0.22,0.78,305.1603727,128.685509,1.762610778,0.420156344
400000.098,300,0.24,0.76,326.6156972,124.5091121,1.702734161,0.574396042
400000.098,300,0.26,0.74,347.9413017,119.9646879,1.023154238,0.703538088
400000.098,300,0.28,0.72,369.4998378,115.8464599,0.729775524,0.658635488
400000.098,300,0.3,0.7,389.977989,111.7710921,1.229120019,0.601061347
400000.098,300,0.32,0.68,409.6927429,107.7052143,2.084661671,0.361351155
400000.098,300,0.34,0.66,429.5176002,103.6445143,2.365763169,0.511045093
400000.098,300,0.36,0.64,449.4327269,99.72266451,1.224265842,0.391034316
400000.098,300,0.38,0.62,468.1630903,95.84474868,1.328429159,0.65788477
400000.098,300,0.4,0.6,485.8745778,92.12706987,2.145575138,0.561182977
400000.098,300,0.42,0.58,505.1897801,88.39368427,1.248976727,0.372035285
400000.098,300,0.44,0.56,523.2206431,84.43171025,1.526041419,0.282774243
400000.098,300,0.46,0.54,540.536079,80.95361634,1.002859759,0.42496011
400000.098,300,0.48,0.52,557.6788172,77.32874097,1.573391339,0.361682605
400000.098,300,0.5,0.5,575.0286569,73.73714945,1.445111851,0.241472089
400000.098,300,0.52,0.48,591.118658,70.30887742,1.970800673,0.407709807
400000.098,300,0.54,0.46,607.639603,66.67563778,0.491708319,0.18348298
400000.098,300,0.56,0.44,622.6407809,63.27862349,1.52726101,0.396911781
400000.098,300,0.58,0.42,637.8535102,59.79162849,0.807565648,0.303818977
400000.098,300,0.6,0.4,653.1136126,56.65290178,1.864702167,0.197083658
400000.098,300,0.62,0.38,668.1014414,53.394703,2.032843251,0.359169033
400000.098,300,0.64,0.36,682.0806503,50.13572493,1.728328858,0.190469391
400000.098,300,0.66,0.34,695.9503801,46.92525264,2.690997396,0.223181087
400000.098,300,0.68,0.32,710.2010216,43.90585948,3.201613392,0.095207255
400000.098,300,0.7,0.3,723.3887242,40.70484243,2.200006841,0.120640448
400000.098,300,0.72,0.28,735.1785927,37.66454728,2.311879796,0.114287615
400000.098,300,0.74,0.26,748.7676649,34.73439019,2.220684675,0.195039025
400000.098,300,0.76,0.24,760.9037157,31.8258624,1.85862337,0.167911444
400000.098,300,0.78,0.22,772.5303286,28.92914502,3.443990084,0.103986302
400000.098,300,0.8,0.2,783.2705532,26.09644971,2.43017276,0.101798978
400000.098,300,0.82,0.18,795.8080279,23.29296869,1.947654446,0.092302718
400000.098,300,0.84,0.16,807.140417,20.56005569,1.756405741,0.099512467
400000.098,300,0.86,0.14,819.1749927,17.87708579,1.602687071,0.131562967
400000.098,300,0.88,0.12,829.4870409,15.18445283,2.28101379,0.045270043
400000.098,300,0.9,0.1,840.2840264,12.54730452,1.86244035,0.056563585
400000.098,300,0.92,0.08,849.6436731,9.994283671,1.377103637,0.045882895
400000.098,300,0.94,0.06,859.930678,7.410195577,2.088605243,0.020321869
400000.098,300,0.96,0.04,869.2894293,4.907949062,2.851844061,0.021640007
400000.098,300,0.98,0.02,878.7900831,2.441220336,2.368310776,0.023365658
800000.096,300,0.02,0.98,62.12565131,334.0971514,0.463518542,1.565727231
800000.096,300,0.04,0.96,115.5618805,316.113114,0.751557494,1.664502402
800000.096,300,0.06,0.94,163.708784,301.3691094,0.60848932,0.901818449
800000.096,300,0.08,0.92,209.1299668,288.1502399,0.445307946,0.833901188
800000.096,300,0.1,0.9,250.8662171,276.4922309,1.436889569,0.858017081
800000.096,300,0.12,0.88,290.8666178,264.738994,1.442125761,0.442351951
800000.096,300,0.14,0.86,328.8341506,254.386017,1.342055833,0.664392402
800000.096,300,0.16,0.84,365.4059386,244.1834408,0.80630195,0.551679941
800000.096,300,0.18,0.82,401.4469626,234.3938823,1.550437202,1.151525437
800000.096,300,0.2,0.8,434.860268,224.5600608,0.85920589,0.944580924
800000.096,300,0.22,0.78,467.8779288,215.8440366,3.10876168,1.272617143
800000.096,300,0.24,0.76,497.3924712,206.0850258,1.312016225,0.960881362
800000.096,300,0.26,0.74,526.8821061,198.0619362,1.552894945,0.486545125
800000.096,300,0.28,0.72,555.108158,189.7505135,1.438427508,0.939073893
800000.096,300,0.3,0.7,581.6464933,181.2237847,2.147764753,0.574270222
800000.096,300,0.32,0.68,608.161549,173.2899485,1.781823789,0.406205682
800000.096,300,0.34,0.66,632.6876913,165.6498657,1.311078119,0.996353356
800000.096,300,0.36,0.64,656.7594202,158.1767737,2.280483115,0.574093016
800000.096,300,0.38,0.62,679.9164345,151.0051067,0.766736419,0.902495993
800000.096,300,0.4,0.6,702.565666,143.6379619,2.925292695,0.860221496
800000.096,300,0.42,0.58,723.5656817,137.0717771,2.220334934,0.606267257
800000.096,300,0.44,0.56,742.9623625,130.3356229,2.178890216,0.1598484
800000.096,300,0.46,0.54,762.6333519,124.1465224,1.059867191,0.50886255
800000.096,300,0.48,0.52,782.4277395,117.6138466,1.941861638,0.567759899
800000.096,300,0.5,0.5,799.1115874,111.6674827,2.715124354,0.639458594
800000.096,300,0.52,0.48,817.6501247,105.4875084,1.08279946,0.130966244
800000.096,300,0.54,0.46,833.7853827,99.73963547,1.488590692,0.689037809
800000.096,300,0.56,0.44,849.4386607,94.16477971,1.470149779,0.785281736
800000.096,300,0.58,0.42,865.0064445,88.65934903,2.155671834,0.537915319
800000.096,300,0.6,0.4,881.0671154,83.52871676,1.217201309,0.28568339
800000.096,300,0.62,0.38,894.8216139,78.21701475,2.269646591,0.216745014
800000.096,300,0.64,0.36,908.7417556,73.22618508,1.279590634,0.103746961
800000.096,300,0.66,0.34,921.2801257,68.29314324,1.597934685,0.126611848
800000.096,300,0.68,0.32,935.4135552,63.57154569,2.142119336,0.136700494
800000.096,300,0.7,0.3,947.2669678,58.90880965,1.624729526,0.365392165
800000.096,300,0.72,0.28,960.6352365,54.1677994,1.157354416,0.22683893
800000.096,300,0.74,0.26,971.0894313,49.7920284,2.325190364,0.284694758
