Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error,P-bar
0.1,200,0.02,0.98,0.032016231,0.007740835,0.00443181,0.000971005,0.000001
0.1,200,0.116,0.884,0.180918838,0.007048143,0.009384202,0.000739593,0.000001
0.1,200,0.212,0.788,0.328600486,0.006234229,0.015142115,0.001327911,0.000001
0.1,200,0.308,0.692,0.491530544,0.005385682,0.025391287,0.00102392,0.000001
0.1,200,0.404,0.596,0.635277994,0.005247143,0.0161882,0.00108202,0.000001
0.1,200,0.5,0.5,0.76912212,0.00417347,0.043432387,0.001211716,0.000001
0.1,200,0.596,0.404,0.916640974,0.003013211,0.045778847,0.001400027,0.000001
0.1,200,0.692,0.308,1.091753478,0.002684182,0.047047486,0.000609805,0.000001
0.1,200,0.788,0.212,1.212601184,0.001818317,0.064672531,0.000379403,0.000001
0.1,200,0.884,0.116,1.39395414,0.000969769,0.084665155,0.000651646,0.000001
0.1,200,0.98,0.02,1.504925653,0.000277077,0.041781217,0.000335795,0.000001
0.1,220,0.02,0.98,0.00531795,0.002130028,0.000775056,0.001151829,0.000001
0.1,220,0.116,0.884,0.030496817,0.002043442,0.005802529,0.00105394,0.000001
0.1,220,0.212,0.788,0.056191199,0.001783682,0.006824001,0.001087549,0.000001
0.1,220,0.308,0.692,0.08199411,0.001558557,0.005734123,0.000464672,0.000001
0.1,220,0.404,0.596,0.104215545,0.001264163,0.010937285,0.000809295,0.000001
0.1,220,0.5,0.5,0.130805296,0.001142942,0.006911896,0.000254511,0.000001
0.1,220,0.596,0.404,0.160596671,0.000848548,0.011136057,0.000400925,0.000001
0.1,220,0.692,0.308,0.179236629,0.000484885,0.009944533,0.000234903,0.000001
0.1,220,0.788,0.212,0.207942707,0.000606106,0.015452991,0.000394895,0.000001
0.1,220,0.884,0.116,0.232606058,0.000346346,0.018795214,0.000328573,0.000001
