Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0000000000,0.0000000000
20000.98,0.7318292645,0.0422549014
40000.96,1.4837466016,0.0187822729
60000.94,2.1968731778,0.0599967479
80000.92,2.9889666600,0.0161061936
100000.9,3.6887589123,0.0519731611
120000.88,4.4467373057,0.0647807103
140000.86,5.2029839688,0.1004365683
160000.84,5.9893627407,0.0728838729
180000.82,6.6008367428,0.0793369299
200000.8,7.3345709107,0.0584949823
220000.78,8.1145422802,0.1488116353
240000.76,8.8039441501,0.1041428948
260000.74,9.5260757244,0.2195229082
280000.72,10.2762613310,0.0994724437
300000.7,10.9538874342,0.1435688620
320000.68,11.6232012315,0.0387083357
340000.66,12.4102726956,0.2100395113
360000.64,13.0868597605,0.0812608689
380000.62,13.9203415991,0.1622705673
400000.6,14.5529427121,0.0937500415
420000.58,15.2033806480,0.2122112158
440000.56,16.0065572048,0.1398713006
460000.54,16.7399450266,0.1042510180
480000.52,17.3031037508,0.1102394085
500000.5,18.0139790775,0.1418059024
520000.48,18.6573169189,0.2463018671
540000.46,19.3997097388,0.1821113612
560000.44,20.1282487155,0.3399420876
580000.42,20.7281201240,0.0909752220
600000.4,21.5048012057,0.1236261928
620000.38,22.4570797494,0.3414330644
640000.36,23.0543535623,0.2872441442
660000.34,23.5984632521,0.3683728273
680000.32,24.2154787915,0.2429169908
700000.3,25.0600437046,0.2076270729
720000.28,25.8107488304,0.2863698865
740000.26,26.3306142947,0.2988661559
760000.24,26.9744716552,0.3493115944
780000.22,27.7840556144,0.1845840399
800000.2,28.4211592263,0.1174567050
820000.18,29.2480604895,0.1404290558
840000.16,29.8207437308,0.2599809446
860000.14,30.6388131689,0.0555828846
880000.12,31.3164392721,0.1402652162
900000.1,31.7485060054,0.2939933957
920000.08,32.2915766569,0.5404416313
940000.06,33.2575358707,0.4443231804
960000.04,33.7661450874,0.0858440062
980000.02,34.6119222118,0.4329401260
1000000,35.0039859730,0.2252182854
