Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0067830998,0.0033683922
20000.98,68.5595028592,0.9408869801
40000.96,107.5237986686,2.4440014524
60000.94,135.1405111705,1.3485929479
80000.92,160.6246170970,1.9499866008
100000.9,183.2297041470,1.9564432137
120000.88,205.2275681033,1.5863212475
140000.86,225.3769017038,0.6273290298
160000.84,243.9612385197,2.2485807632
180000.82,262.8185272714,2.6412269958
200000.8,281.3570103328,3.5016451532
220000.78,296.3555292736,1.4932664426
240000.76,317.1652654700,3.2986962849
260000.74,332.9034136123,2.5639338447
280000.72,348.8797842195,3.1585686270
300000.7,368.2759224188,3.5000957469
320000.68,384.2216334148,2.2207712548
340000.66,399.1569338655,2.9673153051
360000.64,415.9231286127,0.4806401831
380000.62,431.4477447735,1.5323198167
400000.6,447.7586578625,1.7805006399
420000.58,463.7220049180,2.4770132534
440000.56,475.6958039986,5.1222176445
460000.54,490.7898289845,5.5601890022
480000.52,503.3469746474,2.7383947480
500000.5,517.8302493278,5.0753360234
520000.48,531.7239369741,3.9790904934
540000.46,546.1681409997,3.5825532409
560000.44,556.3077898960,6.2971429549
580000.42,569.9190292669,3.0938213718
600000.4,584.5276556315,6.9696978872
620000.38,595.0921978989,1.8127134331
640000.36,607.7375238591,6.1664763901
660000.34,618.6865322228,3.8865393584
680000.32,628.9987431778,3.8123520378
700000.3,642.1943141933,4.4267236586
720000.28,651.8936042510,1.2026041262
740000.26,663.3239413760,3.0957899188
760000.24,674.4172941034,4.3971268521
780000.22,684.2034078383,2.4755120408
800000.2,694.5267430770,3.9112805888
820000.18,704.2268471066,5.2117633215
840000.16,712.0947002198,4.6738740292
860000.14,722.2891565624,4.1932457628
880000.12,731.6050658197,3.5817429825
900000.1,740.9174478651,3.3591030000
920000.08,749.9373426473,4.3734188329
940000.06,758.1668706415,5.2575618738
960000.04,765.0557867925,2.2330352954
980000.02,772.6108033432,2.9439571327
1000000,781.5001912854,1.8252717364
