Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0002857139,0.0004856981
20000.98,7.3451321065,0.1452694826
40000.96,14.7559784025,0.1616635545
60000.94,21.9292536177,0.3373353177
80000.92,29.8149563616,0.2086967040
100000.9,37.6358020575,0.5761788211
120000.88,45.1099339752,0.6638893893
140000.86,53.0327795218,0.6882581042
160000.84,61.4471957776,0.5125735358
180000.82,69.0626132028,1.4587128907
200000.8,77.4053152777,1.4027794223
220000.78,85.4868748778,2.0101355790
240000.76,94.4708617285,1.3191362530
260000.74,102.5104213900,1.0963859697
280000.72,111.4346940423,1.6556348944
300000.7,120.8602516753,1.9442394530
320000.68,127.2395280526,1.5213021411
340000.66,137.1342278560,2.2377083694
360000.64,147.0307847995,1.7501991359
380000.62,154.0360602606,1.8025965735
400000.6,161.1431927155,1.8364098759
420000.58,171.5546060483,2.8278851268
440000.56,180.9600208536,1.7801672464
460000.54,189.7377222919,1.9900467296
480000.52,200.8082775171,3.8113474450
500000.5,211.1636909319,1.1824938085
520000.48,223.3342445472,3.0303965706
540000.46,233.0793731409,2.7657341540
560000.44,244.4703564686,2.9584601906
580000.42,254.1000566599,3.2239632899
600000.4,267.2238945941,1.9688279876
620000.38,278.0254502131,2.0131220417
640000.36,289.8901471331,3.6716325382
660000.34,305.3756958964,3.1445023566
680000.32,315.7683949709,3.9498088470
700000.3,329.3239465590,5.7851155152
720000.28,339.7276456174,6.8517582828
740000.26,351.4267713512,4.6516816127
760000.24,365.7157504373,2.8979382098
780000.22,382.5992971544,3.2797989991
800000.2,397.1852758057,4.3782760310
820000.18,407.9602600350,5.0128307976
840000.16,424.1129506790,5.0221418510
860000.14,436.5227896583,3.2982318113
880000.12,450.4856263645,1.9308180390
900000.1,468.0957434468,5.0433944581
920000.08,480.4050111447,3.6704052959
940000.06,497.3879862877,6.8134988027
960000.04,507.0114007739,6.7756970739
980000.02,522.6448064636,3.6183280656
1000000,532.9197914247,2.5571460873
