Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
1,0,1.00,0.0000000000,0.0006060327,0.0000000000,0.0002861257
1,0.02,.98,0.0000000000,0.0004958450,0.0000000000,0.0007008620
1,0.04,.96,0.0000000000,0.0003856572,0.0000000000,0.0004588219
1,0.06,.94,0.0000000000,0.0003856572,0.0000000000,0.0001873132
1,0.08,.92,0.0000200879,0.0003856572,0.0000557639,0.0001873132
1,0.1,.90,0.0000000000,0.0004958450,0.0000000000,0.0006578225
1,0.12,.88,0.0000200879,0.0004407511,0.0000557639,0.0006666527
1,0.14,.86,0.0000200879,0.0004958450,0.0000557639,0.0004458947
1,0.16,.84,0.0000200879,0.0001101878,0.0000557639,0.0003058813
1,0.18,.82,0.0000000000,0.0001652817,0.0000000000,0.0003058813
1,0.2,.80,0.0000000000,0.0001652817,0.0000000000,0.0003058813
1,0.22,.78,0.0000000000,0.0001652817,0.0000000000,0.0003058813
1,0.24,.76,0.0000200879,0.0003305633,0.0000557639,0.0003746265
1,0.26,.74,0.0000000000,0.0002754694,0.0000000000,0.0003419856
1,0.28,.72,0.0000401757,0.0003856572,0.0000682965,0.0003899236
1,0.3,.70,0.0000200879,0.0002203755,0.0000557639,0.0002861257
1,0.32,.68,0.0000200879,0.0001101878,0.0000557639,0.0001873132
1,0.34,.66,0.0000200879,0.0003305633,0.0000557639,0.0007414072
1,0.36,.64,0.0000401757,0.0001652817,0.0001115278,0.0001873132
1,0.38,.62,0.0000401757,0.0003305633,0.0000682965,0.0004458947
1,0.4,.60,0.0000000000,0.0002754694,0.0000000000,0.0004188452
1,0.42,.58,0.0000200879,0.0001652817,0.0000557639,0.0003058813
1,0.44,.56,0.0000200879,0.0003305633,0.0000557639,0.0001529406
1,0.46,.54,0.0000401757,0.0001652817,0.0000682965,0.0003058813
1,0.48,.52,0.0000401757,0.0000550939,0.0001115278,0.0001529406
1,0.5,.50,0.0000000000,0.0001652817,0.0000000000,0.0001873132
1,0.52,.48,0.0000803514,0.0000550939,0.0001365931,0.0001529406
1,0.54,.46,0.0001205271,0.0002203755,0.0001043247,0.0004458947
1,0.56,.44,0.0000803514,0.0002203755,0.0001043247,0.0004458947
1,0.58,.42,0.0001205271,0.0003856572,0.0001043247,0.0003058813
1,0.6,.40,0.0000000000,0.0001652817,0.0000000000,0.0003058813
1,0.62,.38,0.0000200879,0.0001652817,0.0000557639,0.0001873132
1,0.64,.36,0.0000803514,0.0000000000,0.0001043247,0.0000000000
1,0.66,.34,0.0000200879,0.0002754694,0.0000557639,0.0004188452
1,0.68,.32,0.0000200879,0.0002754694,0.0000557639,0.0004188452
1,0.7,.30,0.0000602636,0.0000550939,0.0001115278,0.0001529406
1,0.72,.28,0.0000200879,0.0001652817,0.0000557639,0.0003058813
1,0.74,.26,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.76,.24,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.78,.22,0.0000000000,0.0000550939,0.0000000000,0.0001529406
1,0.8,.20,0.0000803514,0.0002203755,0.0001625783,0.0001529406
