Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0000000000,0.0000000000
20000.98,1.4743279463,0.0390588480
40000.96,2.9224211555,0.0538756451
60000.94,4.4247113944,0.0653878543
80000.92,5.8843350316,0.0863438489
100000.9,7.3865850948,0.1045956527
120000.88,8.8150323829,0.0722166174
140000.86,10.2708393280,0.0230646860
160000.84,11.7954672603,0.0951634138
180000.82,13.2379760461,0.1102791364
200000.8,14.6383003388,0.1642407369
220000.78,16.0863935480,0.1501597622
240000.76,17.5657032820,0.1782782394
260000.74,19.0470619772,0.1996005365
280000.72,20.4365388288,0.2665902844
300000.7,21.9017870652,0.1606338618
320000.68,23.2891346042,0.1122191293
340000.66,24.8742269768,0.1882554640
360000.64,26.2508476019,0.2152496259
380000.62,27.6610149430,0.2096054037
400000.6,29.0086688828,0.2854196297
420000.58,30.1850537806,0.3469059152
440000.56,31.8477254448,0.3372743896
460000.54,33.0592640869,0.1995933076
480000.52,34.5051878078,0.3624537218
500000.5,35.7493089489,0.3609458909
520000.48,37.0479887010,0.3929245343
540000.46,38.3581185298,0.3810829381
560000.44,39.6132478148,0.3579040048
580000.42,41.0476009319,0.5683341683
600000.4,42.2686612168,0.4398453412
620000.38,43.5477352235,0.5803212658
640000.36,44.7119468819,0.3074832809
660000.34,46.3272915624,0.4195087106
680000.32,47.2930754003,0.7305284910
700000.3,48.5365135543,0.2563868068
720000.28,50.1549517642,0.3238264871
740000.26,51.4253879939,0.4484686113
760000.24,52.9115275982,0.4678838830
780000.22,54.0144713024,0.3681380737
800000.2,55.2444907700,0.5593936449
820000.18,56.7606818038,0.3946956955
840000.16,58.1574304585,0.7132549904
860000.14,59.5216769656,0.4058199209
880000.12,60.7165828647,0.5470157006
900000.1,62.2005931566,0.5277833144
920000.08,63.7120434568,0.4607148040
940000.06,64.8756524796,0.5002891626
960000.04,66.4169533307,0.4596140438
980000.02,67.5908875103,0.4132655487
1000000,68.9168465680,0.3851177173
