Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
1,0,1.00,0.0000000000,0.0006761009,0.0000000000,0.0003128093
1,0.02,.98,0.0000000000,0.0006197591,0.0000000000,0.0011440015
1,0.04,.96,0.0000000000,0.0009014678,0.0000000000,0.0007581998
1,0.06,.94,0.0000000000,0.0002253670,0.0000000000,0.0002926063
1,0.08,.92,0.0000000000,0.0006761009,0.0000000000,0.0006353188
1,0.1,.90,0.0000000000,0.0003380504,0.0000000000,0.0004559940
1,0.12,.88,0.0000410857,0.0005634174,0.0001140538,0.0005529740
1,0.14,.86,0.0000000000,0.0005634174,0.0000000000,0.0004945950
1,0.16,.84,0.0000205428,0.0002817087,0.0000570269,0.0004283318
1,0.18,.82,0.0000205428,0.0003943922,0.0000570269,0.0004692140
1,0.2,.80,0.0000000000,0.0003380504,0.0000000000,0.0001564047
1,0.22,.78,0.0000000000,0.0005634174,0.0000000000,0.0007418925
1,0.24,.76,0.0000000000,0.0001126835,0.0000000000,0.0001915558
1,0.26,.74,0.0000205428,0.0005634174,0.0000570269,0.0002472975
1,0.28,.72,0.0000205428,0.0002817087,0.0000570269,0.0002472975
1,0.3,.70,0.0000000000,0.0003380504,0.0000000000,0.0003831116
1,0.32,.68,0.0000205428,0.0002817087,0.0000570269,0.0003497315
1,0.34,.66,0.0000205428,0.0002817087,0.0000570269,0.0003497315
1,0.36,.64,0.0000205428,0.0005070756,0.0000570269,0.0007581998
1,0.38,.62,0.0000616285,0.0007324426,0.0001140538,0.0008778190
1,0.4,.60,0.0000410857,0.0005070756,0.0000698434,0.0004559940
1,0.42,.58,0.0000000000,0.0001126835,0.0000000000,0.0001915558
1,0.44,.56,0.0000205428,0.0003380504,0.0000570269,0.0004559940
1,0.46,.54,0.0000205428,0.0002817087,0.0000570269,0.0004945950
1,0.48,.52,0.0000205428,0.0002817087,0.0000570269,0.0002472975
1,0.5,.50,0.0000205428,0.0001690252,0.0000570269,0.0003128093
1,0.52,.48,0.0001027142,0.0001126835,0.0001561746,0.0003128093
1,0.54,.46,0.0000000000,0.0001126835,0.0000000000,0.0001915558
1,0.56,.44,0.0000205428,0.0002817087,0.0000570269,0.0002472975
1,0.58,.42,0.0000616285,0.0002253670,0.0001140538,0.0004559940
1,0.6,.40,0.0000410857,0.0000563417,0.0000698434,0.0001564047
1,0.62,.38,0.0000616285,0.0000563417,0.0000698434,0.0001564047
1,0.64,.36,0.0000410857,0.0000000000,0.0000698434,0.0000000000
1,0.66,.34,0.0000410857,0.0000000000,0.0000698434,0.0000000000
1,0.68,.32,0.0000205428,0.0000000000,0.0000570269,0.0000000000
1,0.7,.30,0.0000821713,0.0003380504,0.0000570269,0.0002926063
1,0.72,.28,0.0000616285,0.0001690252,0.0001140538,0.0001915558
1,0.74,.26,0.0000616285,0.0001690252,0.0000698434,0.0003128093
1,0.76,.24,0.0000205428,0.0001690252,0.0000570269,0.0003128093
1,0.78,.22,0.0000205428,0.0001690252,0.0000570269,0.0003128093
1,0.8,.20,0.0000410857,0.0002253670,0.0001140538,0.0001564047
1,0.82,.18,0.0000205428,0.0001690252,0.0000570269,0.0001915558
1,0.84,.16,0.0000410857,0.0002253670,0.0000698434,0.0002926063
1,0.86,.14,0.0001848855,0.0000563417,0.0002764482,0.0001564047
1,0.88,.12,0.0000821713,0.0000563417,0.0001066876,0.0001564047
1,0.9,.10,0.0000616285,0.0000000000,0.0001710807,0.0000000000
1,0.92,.08,0.0001027142,0.0001126835,0.0001803349,0.0001915558
1,0.94,.06,0.0001027142,0.0001126835,0.0000901675,0.0001915558
1,0.96,.04,0.0000821713,0.0000000000,0.0000570269,0.0000000000
1,0.98,.02,0.0000410857,0.0000000000,0.0000698434,0.0000000000
1,1,0,0.0000616285,0.0000000000,0.0000698434,0.0000000000
20000.98,0,1.00,0.0000000000,11.9121084316,0.0000000000,0.1862466019
20000.98,0.02,.98,0.0256785437,11.6554154704,0.0016820522,0.1912665050
20000.98,0.04,.96,0.0546850268,11.4632901417,0.0043173175,0.1858094678
20000.98,0.06,.94,0.0805279132,11.1734682382,0.0033941792,0.1770597193
20000.98,0.08,.92,0.1082196547,10.9310297369,0.0020612684,0.1579357253
20000.98,0.1,.90,0.1330148566,10.8075849875,0.0057389305,0.1056920084
20000.98,0.12,.88,0.1616721114,10.4632806228,0.0025867220,0.1783180227
20000.98,0.14,.86,0.1888297393,10.2228704240,0.0058536672,0.0504362006
20000.98,0.16,.84,0.2137481981,10.0178428371,0.0048489643,0.1191458166
20000.98,0.18,.82,0.2440694226,9.7609245090,0.0035216137,0.1248382133
20000.98,0.2,.80,0.2695425379,9.4087886426,0.0079594941,0.1348333869
20000.98,0.22,.78,0.2990215062,9.3736313977,0.0012043349,0.1664577398
20000.98,0.24,.76,0.3218035102,9.0430180754,0.0053564330,0.1412059147
20000.98,0.26,.74,0.3464754550,8.8037347114,0.0082059326,0.1462463922
20000.98,0.28,.72,0.3743726249,8.5521125067,0.0067109068,0.1089313870
20000.98,0.3,.70,0.4036667076,8.2642062223,0.0020875277,0.0820453919
20000.98,0.32,.68,0.4297150224,8.0512907920,0.0069156738,0.0901837363
20000.98,0.34,.66,0.4625219299,7.8418122078,0.0065001923,0.0924537472
20000.98,0.36,.64,0.4849752485,7.6405031756,0.0109398810,0.2039676667
20000.98,0.38,.62,0.5137763032,7.3931629431,0.0103763123,0.0747014459
20000.98,0.4,.60,0.5417761873,7.1890931657,0.0188656102,0.1046736404
20000.98,0.42,.58,0.5649690480,6.9014122483,0.0071275653,0.1121075111
20000.98,0.44,.56,0.5922293900,6.6036461596,0.0065185525,0.0631788708
20000.98,0.46,.54,0.6132036246,6.4743982112,0.0125614634,0.0706525081
20000.98,0.48,.52,0.6440589627,6.2093666727,0.0133037804,0.1956839594
20000.98,0.5,.50,0.6707235625,5.9154318223,0.0052769154,0.1377581546
