Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0000410857,0.0001140538
20000.98,1.3919824992,0.0161769573
40000.96,2.7772680341,0.0428175266
60000.94,4.1431200471,0.0123991243
80000.92,5.5158744527,0.0779114909
100000.9,6.9394107464,0.1154422995
120000.88,8.3034549900,0.1634391040
140000.86,9.6021730183,0.1116888301
160000.84,11.0223402870,0.1625965713
180000.82,12.3995730307,0.1633001786
200000.8,13.7447589517,0.2329350960
220000.78,15.1221149523,0.1144308006
240000.76,16.5861206310,0.1425814624
260000.74,17.7985587523,0.2040175781
280000.72,19.1273104053,0.1677956720
300000.7,20.6025735575,0.2518361160
320000.68,21.9268468725,0.2206215860
340000.66,23.3113517798,0.2299401383
360000.64,24.5831586942,0.1757538834
380000.62,26.0523411672,0.3493341433
400000.6,27.2777212746,0.3035341910
420000.58,28.5936131129,0.3055450746
440000.56,29.9345261243,0.4480861135
460000.54,31.2920788320,0.3384512274
480000.52,32.5407955999,0.2526642615
500000.5,33.8604673199,0.2974795297
520000.48,35.0926676484,0.3631672426
540000.46,36.3360432793,0.2630482420
560000.44,37.7261358376,0.2564260139
580000.42,38.7310091541,0.3610437757
600000.4,39.9231509545,0.2568081382
620000.38,41.3092171171,0.3280474866
640000.36,42.5357065376,0.2599091495
660000.34,43.4803893476,0.2437475429
680000.32,44.8673593950,0.4373797221
700000.3,46.1910985963,0.2585057316
720000.28,47.2191442307,0.3314995906
740000.26,48.3204456147,0.2481743374
760000.24,49.5834191101,0.2760860536
780000.22,51.1053144977,0.3480282559
800000.2,52.2802003167,0.5584025577
820000.18,53.4651110391,0.7037517091
840000.16,54.6449271384,0.2691882421
860000.14,55.9136115420,0.7376984318
880000.12,57.0773220587,0.4087986121
900000.1,58.3151100383,0.5809886192
920000.08,59.1832502452,0.3137517972
940000.06,61.1289443187,0.9553211611
960000.04,62.0130257655,0.5315844524
980000.02,63.4926439987,0.4464614745
1000000,64.7275148959,0.5310658231
