Pressure [Pa],Uptake [mg/g],Error[mg/g]
1,0.0003380504,0.0006256187
20000.98,12.0997264213,0.2176193194
40000.96,24.1478438100,0.2229562646
60000.94,36.4962626656,0.5916188392
80000.92,48.8241731283,1.3226563300
100000.9,60.7895808447,1.9002216034
120000.88,71.9436675248,0.7579557328
140000.86,84.9379880720,1.5750756764
160000.84,96.8111080205,0.5413507813
180000.82,107.5748591354,1.1303817005
200000.8,120.1209248101,2.6614277618
220000.78,130.1873905677,1.0970464130
240000.76,142.1424314042,1.1918658927
260000.74,154.6686647869,1.9606692355
280000.72,166.1981001297,2.6744955304
300000.7,182.6279145317,1.4218310627
320000.68,193.3024203326,0.9997228454
340000.66,206.0376815656,1.5609493188
360000.64,219.6822984601,2.3646260559
380000.62,232.1758536344,2.1789753422
400000.6,245.7583819330,3.5711318425
420000.58,258.5535907759,3.1820839235
440000.56,273.3903988598,3.1766867012
460000.54,288.8080902690,2.8583651191
480000.52,300.3573579039,4.9475362424
500000.5,315.2084767894,2.4217888854
520000.48,329.3005597722,5.5075134323
540000.46,341.2028647413,4.8473367977
560000.44,358.8220532457,1.7016076863
580000.42,370.9842063134,4.1625545566
600000.4,387.5235490553,4.0694573666
620000.38,401.5204144997,3.9904876575
640000.36,416.7289653751,2.9162835714
660000.34,430.5486923933,4.6413713569
680000.32,448.7713009185,3.4265809038
700000.3,458.5967367182,6.8176388394
720000.28,472.5209213198,4.5083291351
740000.26,488.4024179214,7.1643099288
760000.24,504.6617422223,5.8225322002
780000.22,520.4494861708,3.1721758705
800000.2,533.1076719054,2.9658892559
820000.18,551.3536059104,7.0971911021
840000.16,562.1640079848,4.2029678686
860000.14,575.6743061745,5.3179214460
880000.12,592.2145503841,6.0920614142
900000.1,607.4691888017,6.4759160415
920000.08,616.6772318296,1.2064398419
940000.06,630.2776768010,4.7109280102
960000.04,648.4146458835,6.1313765915
980000.02,659.2403729108,5.9064983972
1000000,668.5322524457,2.6372961904
